bench,batch,avg_duration(ms),SM_util(%),l2_util(%),mem_util(%),achieved occupancy,theoretical occupancy
resnet50,1,0.0,18.73285714285714,15.48642857142857,15.0125,22.057142857142858,78.81071428571429,
resnet50,2,0.0,21.58559633027523,24.013807339449542,23.5,28.810458715596333,79.0137614678899,
resnet50,4,0.0,25.99938053097345,32.921858407079654,29.3375,38.649513274336286,79.92256637168141,
resnet50,8,0.0,29.884605263157894,41.29381578947368,38.3025,47.12850877192982,80.04385964912281,
resnet50,16,0.0,34.04160869565218,50.143608695652176,43.8,54.297652173913036,79.8913043478261,
resnet50,32,0.0,37.6185593220339,56.48572033898305,46.582499999999996,59.34385593220339,79.89936440677967,
mobilenet_v3_large,1,0.0,15.213333333333333,7.824,6.735,16.48,81.6,
mobilenet_v3_large,2,0.0,17.03609756097561,9.305317073170732,8.23,18.121853658536583,80.64024390243902,
mobilenet_v3_large,4,0.0,20.369611650485435,14.400291262135923,13.42,24.802669902912623,80.12742718446601,
mobilenet_v3_large,8,0.0,24.012276785714285,19.389241071428568,19.58,32.24941964285715,80.94308035714286,
mobilenet_v3_large,16,0.0,26.2937558685446,26.769061032863853,26.5,38.25638497652582,79.92957746478874,
mobilenet_v3_large,32,0.0,27.959953703703704,32.414027777777775,30.575,42.23439814814815,79.80324074074075,
vgg11,1,0.0,39.8725,34.215,28.69,45.0125,84.375,
vgg11,2,0.0,41.87203703703704,37.42611111111111,30.305,48.349074074074075,84.72222222222223,
vgg11,4,0.0,45.89678571428572,42.80482142857142,36.035000000000004,54.518750000000004,84.82142857142857,
vgg11,8,0.0,48.28982142857143,46.785714285714285,39.815,58.90160714285714,84.15178571428571,
vgg11,16,0.0,52.050000000000004,51.04981481481482,44.912499999999994,62.82629629629629,83.10185185185185,
vgg11,32,0.0,52.83666666666668,54.70901960784313,45.705,64.83,82.1078431372549,
resnet152,1,0.0,18.1025,14.215,14.1225,21.3575,78.525,
resnet152,2,0.0,20.450511182108627,21.821725239616615,20.3675,24.88166134185304,78.77396166134186,
resnet152,4,0.0,24.19297805642633,31.671708463949848,28.24,34.396442006269595,79.27115987460814,
resnet152,8,0.0,29.08113432835821,39.97392537313433,38.135,44.453910447761196,80.48507462686567,
resnet152,16,0.0,33.45730538922156,49.913008982035926,42.9025,54.029850299401204,79.75299401197604,
resnet152,32,0.0,37.10781899109792,57.25550445103858,49.277499999999996,59.203813056379815,79.71995548961425,
densenet161,1,0.0,17.8725,8.8427,7.4325,18.125,81.0125,
densenet169,2,0.0,19.30014598540146,11.621240875912408,8.605,20.62524330900243,81.50091240875912,
densenet169,4,0.0,22.438036144578312,16.908710843373495,14.004999999999999,26.492915662650603,81.79969879518072,
densenet169,8,0.0,24.579682926829268,23.49351219512195,21.0075,32.22785365853659,81.69969512195122,
densenet169,16,0.0,27.4871327014218,29.58080568720379,27.8375,36.8974644549763,82.39040284360189,
densenet169,32,0.0,29.278700980392156,36.731384803921564,36.245,41.25958333333333,81.90104166666667,
densenet161,1,0.0,16.935,7.1125,6.1975,17.2375,80.625,
densenet161,2,0.0,22.597833333333334,16.335538461538462,12.282499999999999,25.868820512820513,81.45032051282051,
densenet161,4,0.0,26.24420199501247,23.06205735660848,22.232499999999998,33.061246882793014,81.95137157107231,
densenet161,8,0.0,27.457579365079365,30.660542328042332,28.8725,37.648690476190474,80.96891534391534,
densenet161,16,0.0,32.88407363420428,36.62446555819477,32.9125,44.51296912114014,82.97951306413302,
densenet161,32,0.0,35.594692874692875,43.525626535626536,37.0675,48.67567567567568,82.31726044226045,
vgg19,1,0.0,40.87285714285714,36.21357142857143,29.5125,46.82571428571429,84.55357142857143,
vgg19,2,0.0,42.454693877551016,39.98581632653061,32.097500000000004,50.682857142857145,84.18367346938776,
vgg19,4,0.0,46.155490196078425,45.682843137254906,37.3725,56.80176470588235,84.80392156862744,
vgg19,8,0.0,48.6526,50.838,43.620000000000005,61.5089,84.0,
vgg19,16,0.0,51.32765306122449,54.4904081632653,45.730000000000004,64.97091836734694,83.41836734693878,
vgg19,32,0.0,51.94688172043011,58.01376344086021,45.99,66.88333333333334,82.66129032258064,
diffusion_1024_1024,1,0.0,51.36,35.05,42.2575,12.38,100.0,
diffusion_256_256,1,0.0,43.25,25.53,29.58384287,19.29435,93.8319504853,
whisper,1,0.0,19.4823124231,23.4892342384729384,24.24,6.25,75.0,
gpt,1,0.0,34.252934234234,46.23857923482748,47.2384927342,6.23,100.0,
